rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
0.000882581	-0.000213171	0.000445651	0.016564	0.0339366	-0.0941657	0.056903	0.1028403769999999
0.000230015	-0.000361584	0.000430909	0.00910679	-0.0584769	-0.098819	0.0938678	0.14531006
0.00098515	-1.95223e-05	0.000406553	0.00660911	-0.0790073	-0.0982132	0.0500623	0.079711515
0.00121247	-7.92717e-05	0.000387447	0.0177341	-0.0790318	-0.0930787	0.0163923	0.03159276
0.00170538	0.000290039	0.000282347	-0.000110076	-0.0419172	-0.0808387	0.0488959	0.115564811
0.000769349	5.68127e-05	0.00020946	-0.00010747	0.0724009999999999	-0.0121708	0.151725	0.2450959209999998
0.000587989	0.000306813	0.000226632	-0.00357403	0.140733	0.0254842	0.081336	0.131880175
0.000302923	0.000465581	0.000499565	-0.00311016	0.032481	-0.0105768	0.113023	0.18061522
0.000302878	0.000506172	0.000190465	-6.57292e-05	-0.0550766	-0.0276959	0.0910796	0.1252079308
0.000319006	0.00073377	0.000136324	-6.46533e-05	-0.0490593	-0.017531	0.01645	0.0310766258999999
0.000545319	0.000360801	0.000330452	-6.99057e-05	0.00169104	0.0280195	0.0705791	0.1359765924
0.000769609	0.000397797	0.00011318	-7.24439e-05	-0.0179604	0.028967	0.0270707	0.0445293782
0.000181978	0.000252127	0.000146157	-7.77957e-05	-0.0179768	0.0410029	0.0352321	0.0503715518
-0.000380622	0.000252127	0.000499566	-7.686239999999998e-05	0.0936329	0.0742083999999999	0.127205	0.1906165832999999
-0.00113636	0.000146082	0.000499566	-0.00373891	0.0641554	0.051727	0.0482926	0.0987100975999999
-0.00174713	0.000502127	0.000554269	-7.28887e-05	0.00880877	0.00846216	0.0735158999999999	0.1533533912999999
-0.00143482	0.000161603	0.000499566	-0.0143663	-0.0625421	0.01647	0.0798698999999999	0.1290289713
-0.00030742	0.000252127	8.92163e-05	-2.82396e-05	-0.093753	-0.0364594	0.096535	0.1798920454
-0.000186786	0.000252127	8.92163e-05	-2.82407e-05	-0.0624183	-0.0464451	0.0328071	0.0473521011
-5.9429e-05	0.000252127	8.92163e-05	-2.82407e-05	0.00975667	-0.0364394	0.0719916	0.08854852
-0.00067817	0.000252127	-5.69857e-05	-3.69506e-05	0.110163	-0.0114636	0.113971	0.1636379899
-0.00128825	0.000252127	8.92163e-05	-2.82407e-05	0.153373	-0.0277325	0.0591521	0.0973017099
-0.00140965	0.000252127	0.000168441	-0.00599312	0.102429	-0.0445905	0.0531102	0.0837981143
-0.00189446	0.000252127	0.000510829	-0.0173851	0.0337049	-0.032197	0.0731952	0.13386948
-0.00129364	0.000252127	8.92163e-05	-2.82429e-05	-0.0679732	-0.0581012	0.118359	0.1960607920999999
-0.000699705	0.000336818	8.92163e-05	-0.00456284	-0.122897	-0.062719	0.0677942	0.0980074971
-0.000566709	0.000252127	8.92163e-05	-0.00713859	-0.106512	-0.0627133	0.0175771	0.0298508
-0.000498697	0.000252127	-7.53105e-05	-0.00668711	-0.0312672	-0.0540068	0.0754274999999999	0.09602972
-0.000649444	0.00014067	8.92163e-05	-0.00512564	0.122751	0.0385049	0.182054	0.26942791
-0.000798499	0.000151423	0.000164523	-0.00511455	0.122788	0.0690659	0.03277	0.0423648249999999
-0.000368223	0.000186009	8.92163e-05	-0.00267087	0.0635912	0.0404254	0.0739196	0.1172894149999999
-0.000189848	0.000252127	8.921639999999998e-05	-2.82423e-05	0.0451524	-0.0136699	0.0598276	0.0874013827
-0.000928145	0.000252127	0.000194417	-0.00339243	0.14468	0.0712058	0.144111	0.2299423676999999
-0.00142597	0.000252127	0.000257136	-0.0075712899999999	0.152632	0.106067	0.0478054	0.0750192599999998
-0.00160013	0.000252127	0.00040673	-0.0171324	0.027721	0.1204	0.125034	0.16499281
-0.000904115	0.000252127	0.000351166	-0.0116098	-0.0837252	0.0732349	0.133345	0.20171285
-0.000681182	0.000396619	8.921639999999998e-05	-0.0117315	-0.137102	-0.00649816	0.100564	0.16470029
-0.000764479	0.000252128	8.921639999999998e-05	-2.82423e-05	-0.0992097	-0.0398302	0.0522068	0.0943169976999999
-0.00133749	-0.000156828	8.921639999999998e-05	-0.0162097	0.0143799	-0.0244337	0.126721	0.1942659077
-0.00194213	5.40434e-05	0.00052271	-0.00943575	0.177459	0.091433	0.211021	0.34817
-0.00239746	0.000252128	0.000593057	-0.00690097	0.177414	0.0893725999999999	0.0261097	0.0408282600000001
-0.00223314	0.000252128	0.000713039	-0.00304015	0.125743	0.0928326	0.0541071	0.07320692
-0.00182678	0.000502128	0.000764652	-0.00315196	0.0286052	0.0812457	0.104444	0.14423516
-0.00111481	0.000252128	0.000589969	-0.00239498	-0.0265392	0.0756108	0.0736027999999999	0.11836893
-0.000826332	0.000252128	0.000458829	-0.00466948	-0.034677	0.0799562	0.0196994	0.0357385999999999
-0.000352002	2.44487e-06	0.000377115	-0.0150087	0.0339258	0.0919849	0.0718625	0.1312570765
-0.00152714	0.000252128	0.000488482	-0.0106964	0.132393	0.154017	0.143094	0.2416210065
-0.00224037	0.000252128	0.000701877	-0.0189554	0.152739	0.154118	0.0469416	0.07503725
-0.00264889	0.000252128	0.000870547	-0.0168972	0.140646	0.141373	0.0260281	0.0557557
-0.00268888	0.000252128	0.000804786	-0.0191305	0.0435427	0.112409	0.101134	0.1335881499999999
-0.00256239	0.00073983	0.00062201	-0.0166316	-0.0183743	0.0830063	0.0756946	0.1336669999999999
-0.00185507	0.000252128	0.000715634	-0.0165862	-0.0450882	0.109023	0.0586778	0.1172082999999999
-0.00158954	0.000408671	0.000635802	-0.00975839	-0.0128229	0.125329	0.0375595	0.08049436
-0.00184375	0.000252128	0.000688119	-0.00629521	0.125361	0.162716	0.146673	0.20218758
-0.00245202	0.000252128	0.000835814	-0.00600595	0.183869	0.190135	0.0780725	0.12401451
-0.00281412	0.000252128	0.0008481629999999	-0.00897287	0.160463	0.169052	0.0331568	0.0661783699999949
-0.00222044	0.000252128	0.000847221	-0.00439476	0.0678289	0.139774	0.107624	0.1562213099999949
-0.00161981	0.000252128	0.000732709	-0.00263895	0.0312053	0.120178	0.0573051	0.09373251
-0.0012181	0.00030894	0.000620528	-0.00603493	0.0079290899999999	0.115355	0.0353337	0.06003034
-0.00163363	0.000302311	0.000660208	-0.00982546	0.0626071	0.147606	0.0713822	0.11381149
-0.00215817	0.000197793	0.000875218	-0.011972	0.162452	0.221719	0.133754	0.21830784
-0.00260285	0.000164974	0.000974309	-0.0107202	0.148561	0.238267	0.0320612	0.0605203
-0.00266957	0.000164974	0.00113987	-0.00503668	0.103031	0.235488	0.0461837	0.06560657
-0.00227872	0.000164974	0.00103469	-0.0104259	0.00745134	0.201892	0.107693	0.15936638
-0.00188002	0.000164974	0.0007731469999999	-0.0117603	-0.0271519	0.197743	0.0459998	0.0730987900000049
-0.0017837	0.000164974	0.000763863	-0.00526948	-0.0163581	0.231646	0.0355843	0.0564678199999949
-0.00136667	0.000164974	0.000467545	-0.00422393	0.0326194	0.239519	0.0521271	0.09356345
-0.00131192	0.000164974	0.000159306	-0.00269238	0.111059	0.233932	0.0793311	0.1037076
-0.00216838	0.000164974	0.000467545	-0.00573354	0.232688	0.249925	0.13912	0.19889811
-0.00309174	0.000164974	0.000690702	-0.00532134	0.240277	0.225456	0.0537051	0.0897960499999999
-0.00284732	0.000164974	0.000762872	-0.0065179	0.172404	0.207517	0.0736971	0.1028380599999999
-0.00107899	0.00031407	0.0011441	0.0132908	0.041966	0.149895	0.186959	0.3228014
-0.0007567179999999	0.000591588	0.00101439	0.0135886	0.0448453	0.183154	0.0379184	0.072911100000005
-0.000952269	0.000164974	0.000996842	0.0156423	-0.0813042999999999	0.184224	0.126822	0.1612589500000048
-0.00109526	0.000164974	0.0008073069999999	0.0177258	-0.0554031	0.169427	0.0324416	0.0594080000000049
-0.000919268	0.00061408	0.00071813	0.00885163	0.0826318999999999	0.179445	0.139	0.1926409199999949
-0.00215338	0.000164974	0.000833253	0.0021195	0.235099	0.207605	0.180457	0.2772762800000001
-0.00240409	0.000424022	0.000903173	0.00158479	0.243907	0.241061	0.0410549	0.07178261
-0.00260869	0.000240651	0.000957029	-0.000312374	0.196687	0.243178	0.0478101	0.073325514
-0.0015614	0.000233994	0.000846814	0.00264017	0.0905659	0.203236	0.135517	0.207223744
-0.0014178	0.000531716	0.000905346	0.00410147	0.0104031	0.200868	0.0832505	0.1089848
-0.00106367	0.000594661	0.000862084	0.00886928	-0.00299834	0.2193	0.0296613	0.0596181
-0.000903703	0.000528777	0.000647156	0.0060734	0.0298488	0.210417	0.0359021	0.06656497
-0.00140115	0.000558004	0.000686079	0.0043275	0.147663	0.265764	0.13792	0.20318695
-0.00206851	0.00055458	0.000799146	0.00659574	0.217082	0.266836	0.0829778999999999	0.11195179
-0.00223921	0.000450156	0.000981551	0.00412929	0.175313	0.269222	0.0425265	0.0694979
-0.00192967	0.000654919	0.00118037	0.00693654	0.0714036	0.233709	0.114999	0.17788575
-0.00158926	0.000669175	0.00114133	0.0124519	0.00701739	0.259533	0.0735445	0.11541087
-0.00125262	0.000450156	0.00100362	0.00485664	-0.0045077	0.254157	0.0290021	0.0591648
-0.000799798	0.000568797	0.0007282169999999	0.00869318	0.0564452	0.264	0.0633592	0.1169757400000049
-0.000998893	0.000518481	0.000883882	0.00431433	0.170096	0.291966	0.120063	0.166249450000005
-0.00206677	0.000450156	0.00110788	-0.00488735	0.253988	0.302059	0.110299	0.17119668
-0.00230746	0.000450156	0.000901926	-0.00306299	0.217639	0.291903	0.0390613	0.07066156
-0.00188665	0.000662436	0.0008510479999999	-0.00018649	0.143447	0.284476	0.0823036	0.118693900000005
-0.0013604	0.000675743	0.00110788	-0.00202611	0.0412258	0.27665	0.110988	0.1517062700000049
-0.0012146	0.000840468	0.000763688	0.00266841	0.0235596	0.3015	0.0370405	0.07994657
-0.000752527	0.000927921	0.000787804	0.00249066	0.101234	0.329149	0.0811776	0.13418325
-0.00172229	0.000779684	0.00110788	0.00364386	0.210977	0.346186	0.131843	0.199837
-0.00214496	0.000790735	0.00110788	0.00269597	0.208051	0.343918	0.0214341	0.0278279399999999
-0.002014	0.0008764419999999	0.00102632	-0.00350802	0.149735	0.327331	0.0630598	0.096018339999995
