rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
-0.000712731	0.000158245	0.0	0.0223806	-0.000980261	-0.0895365	0.0765186	0.136470461
-0.000232061	0.000199005	0.00011537	2.46494e-05	0.0317402	-0.0456554	0.0581901	0.1307975116
-0.000787556	-2.80077e-05	-0.000306269	0.0100732	0.0689815	-0.0754123	0.062647	0.1372540856
-0.00102983	-1.85831e-05	-0.000371988	0.0135738	0.074413	-0.100987	0.0278431	0.05037768
-0.00050284	-1.85831e-05	-0.000306269	0.0130152	0.0257914	-0.0750802	0.06381	0.10472245
-0.000234286	-1.85831e-05	-0.000306269	0.0134412	0.0345317	-0.0309504	0.0441711	0.0667238
0.000251659	-1.85831e-05	-0.000306269	0.0112172	0.0344925	-0.030983	0.0255841	0.0265930499999999
-0.000365227	-1.85831e-05	-0.000306269	0.015213	0.0720052	-0.0542907	0.0565539	0.0956605
-0.000544144	-1.85831e-05	-0.000254537	0.0130878	0.0727455999999999	-0.0901584	0.0355736	0.0502657499999998
-0.000154253	-1.85831e-05	-0.000306269	0.0131096	0.0135704	-0.0607687	0.0708097	0.1106678499999999
7.525229999999998e-05	-1.85831e-05	-0.000306269	-7.01227e-05	-0.00249334	-0.0328246	0.0361729	0.0686628277
-0.000427176	-1.85831e-05	-0.000306269	0.0178224	0.0508033	-0.0404354	0.0661085	0.1039213777
-0.000672321	-0.000330035	-0.00030627	0.0170082	0.0772854999999999	-0.0964777	0.0649189	0.1111685949999998
-0.000255623	-9.49768e-05	-0.000241484	0.0140476	0.0274505	-0.0774780999999999	0.0613598	0.10762231
0.000428274	-1.85831e-05	-0.00030627	-7.01226e-05	0.00850681	-0.0455249	0.052237	0.1062684475999999
0.000144776	-1.85831e-05	-0.00030627	-7.01227e-05	0.0458941	-0.0455166	0.0427616	0.0515704901
-0.000525601	-0.000344786	-0.00030627	0.0147634	0.0878802	-0.0754875	0.0671923	0.1366195177
-0.000642423	-7.08921e-05	-0.00030627	0.0140002	0.0713767	-0.0916409	0.0259802	0.052955895
-0.000389503	-1.85831e-05	-0.00030627	0.0110011	0.00747835	-0.0479335	0.0793836	0.1258663
